The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
RXRG,ENSG00000143171,retinoid X receptor gamma,0.723,0.524,0.585
DDC,ENSG00000132437,dopa decarboxylase,0.559,0.607,0.666
NUDT14,ENSG00000183828,nudix hydrolase 14,0.617,0.528,0.686
TMEM221,ENSG00000188051,transmembrane protein 221,0.626,0.574,0.63
RNF212,ENSG00000178222,ring finger protein 212,0.534,0.663,0.633
SPRED3,ENSG00000188766,sprouty related EVH1 domain containing 3,0.684,0.547,0.598
BNC2,ENSG00000173068,basonuclin 2,0.554,0.613,0.661
CILP2,ENSG00000160161,cartilage intermediate layer protein 2,0.614,0.534,0.68
RNF32,ENSG00000105982,ring finger protein 32,0.552,0.689,0.587
NKX6-3,ENSG00000165066,NK6 homeobox 3,0.576,0.575,0.677
TRHR,ENSG00000174417,thyrotropin releasing hormone receptor,0.576,0.539,0.712
GNA14,ENSG00000156049,G protein subunit alpha 14,0.602,0.586,0.639
ROR1,ENSG00000185483,receptor tyrosine kinase like orphan receptor 1,0.513,0.732,0.581
PCBP1,ENSG00000169564,poly(rC) binding protein 1,0.638,0.588,0.6
LY75,ENSG00000054219,lymphocyte antigen 75,0.573,0.586,0.667
PLD2,ENSG00000129219,phospholipase D2,0.576,0.573,0.676
GPR160,ENSG00000173890,G protein-coupled receptor 160,0.578,0.643,0.604
SLC22A6,ENSG00000197901,solute carrier family 22 member 6,0.522,0.574,0.729
PTAFR,ENSG00000169403,platelet activating factor receptor,0.589,0.614,0.622
SPATA22,ENSG00000141255,spermatogenesis associated 22,0.586,0.514,0.723
MUC20,ENSG00000176945,"mucin 20, cell surface associated",0.533,0.608,0.682
GSTT2B,ENSG00000133433,glutathione S-transferase theta 2B,0.594,0.544,0.685
NOS3,ENSG00000164867,nitric oxide synthase 3,0.595,0.65,0.578
STH,ENSG00000256762,saitohin,0.558,0.533,0.731
CSF1,ENSG00000184371,colony stimulating factor 1,0.546,0.521,0.755
HS1BP3,ENSG00000118960,HCLS1 binding protein 3,0.583,0.605,0.634
MYBPHL,ENSG00000221986,myosin binding protein H like,0.612,0.512,0.697
TPM4,ENSG00000167460,tropomyosin 4,0.589,0.653,0.579
ADAMTS6,ENSG00000049192,ADAM metallopeptidase with thrombospondin type 1 motif 6,0.51,0.666,0.644
DAZAP1,ENSG00000071626,DAZ associated protein 1,0.629,0.542,0.648
MOCS1,ENSG00000124615,molybdenum cofactor synthesis 1,0.593,0.598,0.628
MERTK,ENSG00000153208,"MER proto-oncogene, tyrosine kinase",0.553,0.598,0.668
PLCG2,ENSG00000197943,phospholipase C gamma 2,0.521,0.684,0.613
FAM178B,ENSG00000168754,family with sequence similarity 178 member B,0.576,0.551,0.691
ADAMTS14,ENSG00000138316,ADAM metallopeptidase with thrombospondin type 1 motif 14,0.547,0.532,0.739
AGFG2,ENSG00000106351,ArfGAP with FG repeats 2,0.59,0.636,0.591
PTF1A,ENSG00000168267,pancreas associated transcription factor 1a,0.571,0.522,0.724
NFKBIA,ENSG00000100906,NFKB inhibitor alpha,0.537,0.632,0.648
IFITM10,ENSG00000244242,interferon induced transmembrane protein 10,0.663,0.577,0.577
OMD,ENSG00000127083,osteomodulin,0.53,0.607,0.68
GRAP,ENSG00000154016,GRB2 related adaptor protein,0.647,0.506,0.663
KRT8,ENSG00000170421,keratin 8,0.538,0.574,0.702
UBAC1,ENSG00000130560,UBA domain containing 1,0.571,0.574,0.669
SCT,ENSG00000070031,secretin,0.5,0.582,0.732
OCEL1,ENSG00000099330,occludin/ELL domain containing 1,0.596,0.66,0.557
GPT2,ENSG00000166123,glutamic--pyruvic transaminase 2,0.518,0.741,0.554
LAMB2,ENSG00000172037,laminin subunit beta 2,0.574,0.566,0.672
B3GNT9,ENSG00000237172,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",0.595,0.54,0.676
SH2B2,ENSG00000160999,SH2B adaptor protein 2,0.615,0.538,0.658
MS4A6A,ENSG00000110077,membrane spanning 4-domains A6A,0.554,0.507,0.75
ARHGAP9,ENSG00000123329,Rho GTPase activating protein 9,0.576,0.547,0.688
ADAMTS12,ENSG00000151388,ADAM metallopeptidase with thrombospondin type 1 motif 12,0.535,0.57,0.706
SNTG2,ENSG00000172554,syntrophin gamma 2,0.591,0.547,0.672
ABHD14A,ENSG00000248487,abhydrolase domain containing 14A,0.641,0.514,0.655
GPC1,ENSG00000063660,glypican 1,0.617,0.53,0.662
ANKMY1,ENSG00000144504,ankyrin repeat and MYND domain containing 1,0.564,0.702,0.543
HEATR4,ENSG00000187105,HEAT repeat containing 4,0.493,0.719,0.597
AGTR1,ENSG00000144891,angiotensin II receptor type 1,0.591,0.547,0.671
ANXA4,ENSG00000196975,annexin A4,0.525,0.646,0.637
MED11,ENSG00000161920,mediator complex subunit 11,0.542,0.699,0.567
FSD2,ENSG00000186628,fibronectin type III and SPRY domain containing 2,0.57,0.586,0.651
LMOD1,ENSG00000163431,leiomodin 1,0.612,0.525,0.67
ANKRD13D,ENSG00000172932,ankyrin repeat domain 13D,0.658,0.532,0.616
GLIS3,ENSG00000107249,GLIS family zinc finger 3,0.545,0.539,0.72
ZNF474,ENSG00000164185,zinc finger protein 474,0.541,0.507,0.756
C6orf52,ENSG00000137434,chromosome 6 open reading frame 52,0.553,0.569,0.682
CA12,ENSG00000074410,carbonic anhydrase 12,0.586,0.59,0.628
SLC27A6,ENSG00000113396,solute carrier family 27 member 6,0.509,0.629,0.665
GDF5,ENSG00000125965,growth differentiation factor 5,0.559,0.654,0.59
CNPY1,ENSG00000146910,canopy FGF signaling regulator 1,0.623,0.641,0.538
AKAP14,ENSG00000186471,A-kinase anchoring protein 14,0.561,0.579,0.662
FMO5,ENSG00000131781,flavin containing dimethylaniline monoxygenase 5,0.511,0.688,0.603
TSSK6,ENSG00000178093,testis specific serine kinase 6,0.565,0.58,0.656
KBTBD11,ENSG00000176595,kelch repeat and BTB domain containing 11,0.652,0.595,0.554
ACOT13,ENSG00000112304,acyl-CoA thioesterase 13,0.603,0.587,0.611
TRAF4,ENSG00000076604,TNF receptor associated factor 4,0.525,0.589,0.686
ALOX12B,ENSG00000179477,"arachidonate 12-lipoxygenase, 12R type",0.556,0.618,0.626
COL17A1,ENSG00000065618,collagen type XVII alpha 1 chain,0.558,0.54,0.702
NRCAM,ENSG00000091129,neuronal cell adhesion molecule,0.571,0.665,0.563
ZNF732,ENSG00000186777,zinc finger protein 732,0.581,0.596,0.621
FGF5,ENSG00000138675,fibroblast growth factor 5,0.603,0.588,0.607
GAL3ST1,ENSG00000128242,galactose-3-O-sulfotransferase 1,0.558,0.631,0.608
CCDC28B,ENSG00000160050,coiled-coil domain containing 28B,0.568,0.593,0.636
MPZL2,ENSG00000149573,myelin protein zero like 2,0.561,0.529,0.706
ADAMTS5,ENSG00000154736,ADAM metallopeptidase with thrombospondin type 1 motif 5,0.631,0.622,0.542
MPL,ENSG00000117400,"MPL proto-oncogene, thrombopoietin receptor",0.538,0.598,0.659
DRD4,ENSG00000069696,dopamine receptor D4,0.528,0.571,0.696
TCEAL2,ENSG00000184905,transcription elongation factor A like 2,0.525,0.693,0.577
ICAM3,ENSG00000076662,intercellular adhesion molecule 3,0.595,0.641,0.559
RAB27A,ENSG00000069974,"RAB27A, member RAS oncogene family",0.5,0.679,0.615
SH2B1,ENSG00000178188,SH2B adaptor protein 1,0.617,0.6,0.577
ALPL,ENSG00000162551,"alkaline phosphatase, biomineralization associated",0.534,0.536,0.724
ARHGAP42,ENSG00000165895,Rho GTPase activating protein 42,0.506,0.664,0.623
MACROD1,ENSG00000133315,mono-ADP ribosylhydrolase 1,0.609,0.655,0.529
MRPS15,ENSG00000116898,mitochondrial ribosomal protein S15,0.556,0.605,0.632
KCNJ14,ENSG00000182324,potassium inwardly rectifying channel subfamily J member 14,0.553,0.618,0.622
CBX7,ENSG00000100307,chromobox 7,0.712,0.545,0.535
BHLHA9,ENSG00000205899,basic helix-loop-helix family member a9,0.582,0.587,0.623
HSPG2,ENSG00000142798,heparan sulfate proteoglycan 2,0.601,0.552,0.639
CD27,ENSG00000139193,CD27 molecule,0.651,0.508,0.633
PNPLA5,ENSG00000100341,patatin like phospholipase domain containing 5,0.589,0.562,0.641
FGF11,ENSG00000161958,fibroblast growth factor 11,0.524,0.642,0.626
GYPC,ENSG00000136732,glycophorin C (Gerbich blood group),0.557,0.601,0.633
EMP2,ENSG00000213853,epithelial membrane protein 2,0.5,0.566,0.725
ALG1L,ENSG00000189366,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like,0.538,0.567,0.686
CA5B,ENSG00000169239,carbonic anhydrase 5B,0.528,0.65,0.612
MICB,ENSG00000204516,MHC class I polypeptide-related sequence B,0.548,0.508,0.734
FOXL1,ENSG00000176678,forkhead box L1,0.528,0.596,0.666
TEAD2,ENSG00000074219,TEA domain transcription factor 2,0.535,0.578,0.676
NXPH3,ENSG00000182575,neurexophilin 3,0.604,0.529,0.656
DOK3,ENSG00000146094,docking protein 3,0.554,0.661,0.574
GAPDHS,ENSG00000105679,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",0.555,0.631,0.603
LRRC37A2,ENSG00000238083,leucine rich repeat containing 37 member A2,0.54,0.616,0.632
LMAN1L,ENSG00000140506,"lectin, mannose binding 1 like",0.534,0.599,0.655
C11orf52,ENSG00000149300,chromosome 11 open reading frame 52,0.579,0.524,0.685
FGL2,ENSG00000127951,fibrinogen like 2,0.625,0.557,0.606
TNFRSF10D,ENSG00000173530,TNF receptor superfamily member 10d,0.517,0.561,0.71
ZNF768,ENSG00000169957,zinc finger protein 768,0.609,0.511,0.667
MIF4GD,ENSG00000125457,MIF4G domain containing,0.526,0.712,0.548
IQCK,ENSG00000174628,IQ motif containing K,0.513,0.704,0.569
ARAF,ENSG00000078061,"A-Raf proto-oncogene, serine/threonine kinase",0.587,0.638,0.561
KANK4,ENSG00000132854,KN motif and ankyrin repeat domains 4,0.505,0.639,0.641
YKT6,ENSG00000106636,YKT6 v-SNARE homolog,0.582,0.667,0.536
XRCC3,ENSG00000126215,X-ray repair cross complementing 3,0.54,0.597,0.647
AMZ1,ENSG00000174945,archaelysin family metallopeptidase 1,0.573,0.589,0.622
PKIA,ENSG00000171033,cAMP-dependent protein kinase inhibitor alpha,0.681,0.538,0.564
TSSK3,ENSG00000162526,testis specific serine kinase 3,0.581,0.566,0.635
REEP4,ENSG00000168476,receptor accessory protein 4,0.491,0.63,0.661
RNASEH2C,ENSG00000172922,ribonuclease H2 subunit C,0.604,0.542,0.635
PDZK1,ENSG00000174827,PDZ domain containing 1,0.601,0.576,0.604
LMTK3,ENSG00000142235,lemur tyrosine kinase 3,0.521,0.604,0.655
SLC24A1,ENSG00000074621,solute carrier family 24 member 1,0.552,0.67,0.558
SHOX2,ENSG00000168779,short stature homeobox 2,0.545,0.553,0.681
TMEM220,ENSG00000187824,transmembrane protein 220,0.54,0.641,0.598
DPF3,ENSG00000205683,double PHD fingers 3,0.539,0.594,0.646
NFKBIL1,ENSG00000204498,NFKB inhibitor like 1,0.615,0.526,0.637
LAMA1,ENSG00000101680,laminin subunit alpha 1,0.549,0.528,0.701
C2CD4D,ENSG00000225556,C2 calcium dependent domain containing 4D,0.583,0.584,0.611
CAPN12,ENSG00000182472,calpain 12,0.59,0.635,0.552
ABTB1,ENSG00000114626,ankyrin repeat and BTB domain containing 1,0.546,0.584,0.647
FAM90A1,ENSG00000171847,family with sequence similarity 90 member A1,0.5,0.712,0.564
HLA-DMB,ENSG00000242574,"major histocompatibility complex, class II, DM beta",0.5,0.603,0.673
ISYNA1,ENSG00000105655,inositol-3-phosphate synthase 1,0.507,0.578,0.69
SMPX,ENSG00000091482,small muscle protein X-linked,0.486,0.514,0.775
NEURL1B,ENSG00000214357,neuralized E3 ubiquitin protein ligase 1B,0.637,0.511,0.627
APCDD1,ENSG00000154856,APC down-regulated 1,0.524,0.694,0.557
DAO,ENSG00000110887,D-amino acid oxidase,0.634,0.562,0.578
MDP1,ENSG00000213920,magnesium dependent phosphatase 1,0.613,0.501,0.66
WDR86,ENSG00000187260,WD repeat domain 86,0.573,0.614,0.587
FBXL22,ENSG00000197361,F-box and leucine rich repeat protein 22,0.557,0.619,0.597
PROM2,ENSG00000155066,prominin 2,0.567,0.541,0.665
ILK,ENSG00000166333,integrin linked kinase,0.543,0.673,0.557
C7orf31,ENSG00000153790,chromosome 7 open reading frame 31,0.517,0.673,0.583
KIAA1614,ENSG00000135835,KIAA1614,0.566,0.613,0.594
AMFR,ENSG00000159461,autocrine motility factor receptor,0.587,0.673,0.511
SLC25A35,ENSG00000125434,solute carrier family 25 member 35,0.621,0.546,0.604
FSD1,ENSG00000105255,fibronectin type III and SPRY domain containing 1,0.531,0.717,0.522
GDE1,ENSG00000006007,glycerophosphodiester phosphodiesterase 1,0.595,0.654,0.52
SNRPB,ENSG00000125835,small nuclear ribonucleoprotein polypeptides B and B1,0.589,0.541,0.639
C19orf54,ENSG00000188493,chromosome 19 open reading frame 54,0.611,0.513,0.645
CCND3,ENSG00000112576,cyclin D3,0.61,0.589,0.57
SPSB2,ENSG00000111671,splA/ryanodine receptor domain and SOCS box containing 2,0.555,0.559,0.654
SMAGP,ENSG00000170545,small cell adhesion glycoprotein,0.491,0.658,0.618
KRT18,ENSG00000111057,keratin 18,0.486,0.567,0.714
SYT13,ENSG00000019505,synaptotagmin 13,0.679,0.509,0.578
CBS,ENSG00000160200,cystathionine beta-synthase,0.602,0.608,0.555
PROKR1,ENSG00000169618,prokineticin receptor 1,0.549,0.542,0.673
TRIM28,ENSG00000130726,tripartite motif containing 28,0.533,0.72,0.511
ADAMTS16,ENSG00000145536,ADAM metallopeptidase with thrombospondin type 1 motif 16,0.5,0.658,0.605
TPM3,ENSG00000143549,tropomyosin 3,0.651,0.514,0.598
VAX1,ENSG00000148704,ventral anterior homeobox 1,0.604,0.525,0.634
KIF18B,ENSG00000186185,kinesin family member 18B,0.559,0.545,0.659
MRPS23,ENSG00000181610,mitochondrial ribosomal protein S23,0.646,0.509,0.607
VAT1,ENSG00000108828,vesicle amine transport 1,0.668,0.582,0.512
COL23A1,ENSG00000050767,collagen type XXIII alpha 1 chain,0.523,0.512,0.726
DTX1,ENSG00000135144,deltex E3 ubiquitin ligase 1,0.64,0.541,0.58
KLC3,ENSG00000104892,kinesin light chain 3,0.647,0.598,0.516
ABI2,ENSG00000138443,abl interactor 2,0.632,0.564,0.565
CCDC9,ENSG00000105321,coiled-coil domain containing 9,0.584,0.642,0.534
ANGPT2,ENSG00000091879,angiopoietin 2,0.534,0.571,0.655
CCT6B,ENSG00000132141,chaperonin containing TCP1 subunit 6B,0.5,0.635,0.625
FGF19,ENSG00000162344,fibroblast growth factor 19,0.545,0.52,0.695
SMARCC2,ENSG00000139613,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2",0.606,0.545,0.608
C17orf67,ENSG00000214226,chromosome 17 open reading frame 67,0.5,0.683,0.576
LPP,ENSG00000145012,LIM domain containing preferred translocation partner in lipoma,0.546,0.595,0.618
EPHB4,ENSG00000196411,EPH receptor B4,0.519,0.555,0.684
DYDC2,ENSG00000133665,DPY30 domain containing 2,0.628,0.561,0.567
TMEM61,ENSG00000143001,transmembrane protein 61,0.545,0.602,0.609
FAM72B,ENSG00000188610,family with sequence similarity 72 member B,0.586,0.512,0.658
TNFAIP8,ENSG00000145779,TNF alpha induced protein 8,0.486,0.628,0.641
VWA1,ENSG00000179403,von Willebrand factor A domain containing 1,0.569,0.593,0.593
SYT2,ENSG00000143858,synaptotagmin 2,0.623,0.593,0.539
SLC25A45,ENSG00000162241,solute carrier family 25 member 45,0.564,0.525,0.665
SLC7A9,ENSG00000021488,solute carrier family 7 member 9,0.517,0.563,0.674
C15orf62,ENSG00000188277,chromosome 15 open reading frame 62,0.566,0.519,0.669
DBH,ENSG00000123454,dopamine beta-hydroxylase,0.546,0.592,0.616
ZNF726,ENSG00000213967,zinc finger protein 726,0.532,0.623,0.599
FOXD4,ENSG00000170122,forkhead box D4,0.579,0.591,0.584
SFTPA2,ENSG00000185303,surfactant protein A2,0.55,0.566,0.638
TSPAN11,ENSG00000110900,tetraspanin 11,0.535,0.506,0.712
KREMEN2,ENSG00000131650,kringle containing transmembrane protein 2,0.575,0.541,0.636
FAM111A,ENSG00000166801,FAM111 trypsin like peptidase A,0.5,0.573,0.679
EMILIN2,ENSG00000132205,elastin microfibril interfacer 2,0.486,0.574,0.691
MC4R,ENSG00000166603,melanocortin 4 receptor,0.685,0.501,0.564
SCNM1,ENSG00000163156,sodium channel modifier 1,0.589,0.535,0.625
ARHGEF19,ENSG00000142632,Rho guanine nucleotide exchange factor 19,0.544,0.582,0.623
DNAJB2,ENSG00000135924,DnaJ heat shock protein family (Hsp40) member B2,0.538,0.619,0.591
PLCD4,ENSG00000115556,phospholipase C delta 4,0.5,0.63,0.618
TEX264,ENSG00000164081,"testis expressed 264, ER-phagy receptor",0.51,0.701,0.537
MRPS16,ENSG00000182180,mitochondrial ribosomal protein S16,0.667,0.505,0.575
ACTC1,ENSG00000159251,actin alpha cardiac muscle 1,0.549,0.546,0.651
THAP7,ENSG00000184436,THAP domain containing 7,0.572,0.581,0.593
RAB4A,ENSG00000168118,"RAB4A, member RAS oncogene family",0.598,0.587,0.561
STK32A,ENSG00000169302,serine/threonine kinase 32A,0.512,0.622,0.612
WWTR1,ENSG00000018408,WW domain containing transcription regulator 1,0.607,0.532,0.607
RBM38,ENSG00000132819,RNA binding motif protein 38,0.541,0.615,0.589
STAR,ENSG00000147465,steroidogenic acute regulatory protein,0.517,0.558,0.67
SPAG17,ENSG00000155761,sperm associated antigen 17,0.524,0.567,0.654
CYP4V2,ENSG00000145476,cytochrome P450 family 4 subfamily V member 2,0.521,0.559,0.664
PSTPIP2,ENSG00000152229,proline-serine-threonine phosphatase interacting protein 2,0.545,0.577,0.622
INMT,ENSG00000241644,indolethylamine N-methyltransferase,0.542,0.505,0.696
PLXNB1,ENSG00000164050,plexin B1,0.572,0.604,0.567
BEST4,ENSG00000142959,bestrophin 4,0.547,0.6,0.596
PAAF1,ENSG00000175575,proteasomal ATPase associated factor 1,0.58,0.559,0.603
ATF5,ENSG00000169136,activating transcription factor 5,0.666,0.526,0.549
WTIP,ENSG00000142279,WT1 interacting protein,0.644,0.544,0.553
GPS2,ENSG00000132522,G protein pathway suppressor 2,0.575,0.585,0.581
TMCO1,ENSG00000143183,transmembrane and coiled-coil domains 1,0.59,0.541,0.609
ATP6AP1L,ENSG00000205464,ATPase H+ transporting accessory protein 1 like,0.486,0.718,0.536
ARHGAP15,ENSG00000075884,Rho GTPase activating protein 15,0.5,0.639,0.599
RAB42,ENSG00000188060,"RAB42, member RAS oncogene family",0.553,0.519,0.666
FGFBP2,ENSG00000137441,fibroblast growth factor binding protein 2,0.51,0.583,0.645
POU4F1,ENSG00000152192,POU class 4 homeobox 1,0.526,0.518,0.694
P2RY1,ENSG00000169860,purinergic receptor P2Y1,0.667,0.517,0.554
SNX17,ENSG00000115234,sorting nexin 17,0.573,0.634,0.53
RXRA,ENSG00000186350,retinoid X receptor alpha,0.629,0.542,0.565
ZNF114,ENSG00000178150,zinc finger protein 114,0.546,0.574,0.614
LRRC14B,ENSG00000185028,leucine rich repeat containing 14B,0.605,0.514,0.615
APOL1,ENSG00000100342,apolipoprotein L1,0.606,0.55,0.576
RBM3,ENSG00000102317,RNA binding motif protein 3,0.648,0.535,0.549
SSH3,ENSG00000172830,slingshot protein phosphatase 3,0.5,0.572,0.66
TRIM22,ENSG00000132274,tripartite motif containing 22,0.5,0.588,0.644
CPLX3,ENSG00000213578,complexin 3,0.506,0.64,0.586
ANAPC16,ENSG00000166295,anaphase promoting complex subunit 16,0.516,0.626,0.59
VWCE,ENSG00000167992,von Willebrand factor C and EGF domains,0.582,0.528,0.622
CNN2,ENSG00000064666,calponin 2,0.529,0.529,0.673
DPM2,ENSG00000136908,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",0.569,0.603,0.559
SAMD9,ENSG00000205413,sterile alpha motif domain containing 9,0.549,0.504,0.678
ZNF710,ENSG00000140548,zinc finger protein 710,0.643,0.514,0.574
RNPS1,ENSG00000205937,RNA binding protein with serine rich domain 1,0.573,0.643,0.513
CNKSR1,ENSG00000142675,connector enhancer of kinase suppressor of Ras 1,0.606,0.505,0.618
WDR83,ENSG00000123154,WD repeat domain 83,0.548,0.609,0.572
LRP5L,ENSG00000100068,LDL receptor related protein 5 like,0.531,0.604,0.594
C15orf39,ENSG00000167173,chromosome 15 open reading frame 39,0.5,0.587,0.642
GFRA3,ENSG00000146013,GDNF family receptor alpha 3,0.54,0.548,0.64
STARD5,ENSG00000172345,StAR related lipid transfer domain containing 5,0.5,0.727,0.501
IFNGR1,ENSG00000027697,interferon gamma receptor 1,0.559,0.508,0.66
DUSP26,ENSG00000133878,dual specificity phosphatase 26,0.581,0.56,0.586
PRLR,ENSG00000113494,prolactin receptor,0.51,0.567,0.649
CD209,ENSG00000090659,CD209 molecule,0.488,0.595,0.643
FBXO43,ENSG00000156509,F-box protein 43,0.551,0.535,0.64
PEX6,ENSG00000124587,peroxisomal biogenesis factor 6,0.605,0.546,0.575
TMEM232,ENSG00000186952,transmembrane protein 232,0.507,0.558,0.66
PRRX1,ENSG00000116132,paired related homeobox 1,0.5,0.653,0.572
CYSLTR2,ENSG00000152207,cysteinyl leukotriene receptor 2,0.587,0.543,0.595
ETFA,ENSG00000140374,electron transfer flavoprotein subunit alpha,0.541,0.621,0.563
CAPN6,ENSG00000077274,calpain 6,0.534,0.532,0.655
GPR55,ENSG00000135898,G protein-coupled receptor 55,0.536,0.583,0.602
FOXC2,ENSG00000176692,forkhead box C2,0.5,0.549,0.672
TSPYL4,ENSG00000187189,TSPY like 4,0.65,0.519,0.551
C19orf71,ENSG00000183397,chromosome 19 open reading frame 71,0.585,0.555,0.58
CARM1,ENSG00000142453,coactivator associated arginine methyltransferase 1,0.589,0.588,0.542
HNRNPL,ENSG00000104824,heterogeneous nuclear ribonucleoprotein L,0.522,0.671,0.525
MTCH2,ENSG00000109919,mitochondrial carrier 2,0.603,0.602,0.513
TMPPE,ENSG00000188167,transmembrane protein with metallophosphoesterase domain,0.514,0.615,0.589
RBP5,ENSG00000139194,retinol binding protein 5,0.488,0.602,0.627
FBRS,ENSG00000156860,fibrosin,0.619,0.561,0.536
AOC3,ENSG00000131471,amine oxidase copper containing 3,0.539,0.603,0.574
EXOC3L4,ENSG00000205436,exocyst complex component 3 like 4,0.553,0.502,0.66
C8orf33,ENSG00000182307,chromosome 8 open reading frame 33,0.618,0.513,0.584
SMTNL2,ENSG00000188176,smoothelin like 2,0.613,0.514,0.588
KRTAP3-2,ENSG00000212900,keratin associated protein 3-2,0.543,0.551,0.621
TP53I3,ENSG00000115129,tumor protein p53 inducible protein 3,0.528,0.516,0.67
CRTC2,ENSG00000160741,CREB regulated transcription coactivator 2,0.563,0.637,0.514
ARHGAP22,ENSG00000128805,Rho GTPase activating protein 22,0.576,0.565,0.572
MYH15,ENSG00000144821,myosin heavy chain 15,0.513,0.506,0.694
CTBS,ENSG00000117151,chitobiase,0.53,0.564,0.619
COMMD4,ENSG00000140365,COMM domain containing 4,0.573,0.563,0.577
TMEM179B,ENSG00000185475,transmembrane protein 179B,0.513,0.615,0.584
MAPRE2,ENSG00000166974,microtubule associated protein RP/EB family member 2,0.574,0.617,0.52
AURKC,ENSG00000105146,aurora kinase C,0.526,0.611,0.574
SRA1,ENSG00000213523,steroid receptor RNA activator 1,0.561,0.58,0.57
YIPF2,ENSG00000130733,Yip1 domain family member 2,0.51,0.56,0.64
DGAT1,ENSG00000185000,diacylglycerol O-acyltransferase 1,0.568,0.539,0.603
COL6A2,ENSG00000142173,collagen type VI alpha 2 chain,0.526,0.576,0.608
VSIG10,ENSG00000176834,V-set and immunoglobulin domain containing 10,0.516,0.606,0.588
TDRD9,ENSG00000156414,tudor domain containing 9,0.518,0.552,0.638
KLRC4,ENSG00000183542,killer cell lectin like receptor C4,0.506,0.526,0.675
AMDHD1,ENSG00000139344,amidohydrolase domain containing 1,0.582,0.544,0.581
MR1,ENSG00000153029,"major histocompatibility complex, class I-related",0.537,0.52,0.65
NOMO3,ENSG00000103226,NODAL modulator 3,0.612,0.53,0.563
LINGO4,ENSG00000213171,leucine rich repeat and Ig domain containing 4,0.608,0.53,0.564
TRAF3,ENSG00000131323,TNF receptor associated factor 3,0.657,0.502,0.543
PCYT2,ENSG00000185813,"phosphate cytidylyltransferase 2, ethanolamine",0.559,0.529,0.614
SDR42E1,ENSG00000184860,"short chain dehydrogenase/reductase family 42E, member 1",0.531,0.585,0.584
FBLN1,ENSG00000077942,fibulin 1,0.635,0.52,0.544
EVC2,ENSG00000173040,EvC ciliary complex subunit 2,0.5,0.552,0.647
SH2D3A,ENSG00000125731,SH2 domain containing 3A,0.589,0.516,0.594
FOXL2,ENSG00000183770,forkhead box L2,0.49,0.551,0.658
EPAS1,ENSG00000116016,endothelial PAS domain protein 1,0.584,0.601,0.513
TMEM52,ENSG00000178821,transmembrane protein 52,0.579,0.529,0.59
HNRNPUL1,ENSG00000105323,heterogeneous nuclear ribonucleoprotein U like 1,0.586,0.572,0.54
CD160,ENSG00000117281,CD160 molecule,0.568,0.533,0.597
AOX1,ENSG00000138356,aldehyde oxidase 1,0.512,0.527,0.658
LRRC23,ENSG00000010626,leucine rich repeat containing 23,0.552,0.571,0.574
CHD5,ENSG00000116254,chromodomain helicase DNA binding protein 5,0.525,0.504,0.666
BHMT,ENSG00000145692,betaine--homocysteine S-methyltransferase,0.5,0.523,0.67
PSPN,ENSG00000125650,persephin,0.567,0.601,0.525
DAZAP2,ENSG00000183283,DAZ associated protein 2,0.577,0.578,0.538
KIF12,ENSG00000136883,kinesin family member 12,0.55,0.545,0.597
BATF3,ENSG00000123685,basic leucine zipper ATF-like transcription factor 3,0.562,0.586,0.54
EVI2B,ENSG00000185862,ecotropic viral integration site 2B,0.5,0.63,0.558
PSKH1,ENSG00000159792,protein serine kinase H1,0.573,0.577,0.538
SRPRB,ENSG00000144867,SRP receptor subunit beta,0.619,0.532,0.535
SAP25,ENSG00000205307,Sin3A associated protein 25,0.555,0.549,0.582
CRYGS,ENSG00000213139,crystallin gamma S,0.538,0.541,0.606
PMCH,ENSG00000183395,pro-melanin concentrating hormone,0.508,0.501,0.675
ADM2,ENSG00000128165,adrenomedullin 2,0.564,0.589,0.531
MARCO,ENSG00000019169,macrophage receptor with collagenous structure,0.562,0.533,0.586
MRPL38,ENSG00000204316,mitochondrial ribosomal protein L38,0.5,0.61,0.571
ZNF257,ENSG00000197134,zinc finger protein 257,0.548,0.612,0.52
NCK2,ENSG00000071051,NCK adaptor protein 2,0.567,0.561,0.552
RPL36A,ENSG00000241343,ribosomal protein L36a,0.558,0.504,0.618
ACOT2,ENSG00000119673,acyl-CoA thioesterase 2,0.577,0.517,0.586
TNFAIP8L1,ENSG00000185361,TNF alpha induced protein 8 like 1,0.544,0.567,0.569
SPATA20,ENSG00000006282,spermatogenesis associated 20,0.521,0.637,0.521
UCP3,ENSG00000175564,uncoupling protein 3,0.517,0.577,0.585
KERA,ENSG00000139330,keratocan,0.5,0.599,0.58
SFXN4,ENSG00000183605,sideroflexin 4,0.523,0.583,0.572
ITPA,ENSG00000125877,inosine triphosphatase,0.541,0.576,0.56
ZNF366,ENSG00000178175,zinc finger protein 366,0.509,0.613,0.552
CCDC13,ENSG00000244607,coiled-coil domain containing 13,0.507,0.519,0.647
